Caracter;Contagem;Binario;Hexadecimal

;32536;00001010;A
 ;700260;00100000;20
a;349419;01100001;61
b;30173;01100010;62
c;76603;01100011;63
d;153718;01100100;64
e;407588;01100101;65
f;32408;01100110;66
g;27124;01100111;67
h;46151;01101000;68
i;162755;01101001;69
j;14890;01101010;6A
l;76815;01101100;6C
m;133496;01101101;6D
n;132967;01101110;6E
o;333181;01101111;6F
p;70200;01110000;70
q;38334;01110001;71
r;198881;01110010;72
s;284436;01110011;73
t;127353;01110100;74
u;136453;01110101;75
v;46816;01110110;76
x;4182;01111000;78
z;14717;01111010;7A
à;2691;11100000;E0
á;17739;11100001;E1
â;608;11100010;E2
ã;28632;11100011;E3
ç;11112;11100111;E7
é;16643;11101001;E9
ê;2623;11101010;EA
í;6809;11101101;ED
î;3;11101110;EE
ó;6808;11110011;F3
ô;1494;11110100;F4
õ;1681;11110101;F5
ú;1471;11111010;FA
ü;568;11111100;FC
